age_grouped,percentage,cluster
missing,68.68,-1
25 — 34,9.1,-1
18 — 24,7.68,-1
35 — 44,7.15,-1
45 — 54,4.98,-1
55+,2.42,-1
missing,41.95,0
25 — 34,16.72,0
35 — 44,14.83,0
18 — 24,13.21,0
45 — 54,8.41,0
55+,4.88,0
25 — 34,39.48,1
35 — 44,28.27,1
18 — 24,14.38,1
45 — 54,13.18,1
55+,4.23,1
Other,0.26,1
missing,0.19,1
25 — 34,36.32,2
35 — 44,25.86,2
18 — 24,18.95,2
45 — 54,13.3,2
55+,5.33,2
missing,0.25,2
25 — 34,28.15,3
35 — 44,25.8,3
18 — 24,20.29,3
45 — 54,16.58,3
55+,8.85,3
missing,0.32,3
25 — 34,36.36,4
35 — 44,25.95,4
18 — 24,20.66,4
45 — 54,12.1,4
55+,4.62,4
missing,0.3,4
25 — 34,29.73,5
35 — 44,23.99,5
18 — 24,23.38,5
45 — 54,14.43,5
55+,8.07,5
missing,0.4,5
25 — 34,32.93,6
35 — 44,26.95,6
18 — 24,16.55,6
45 — 54,15.77,6
55+,7.43,6
missing,0.36,6
