age_grouped,percentage,cluster
25 — 34,41.31,0
35 — 44,21.4,0
45 — 54,15.79,0
18 — 24,12.71,0
55+,7.95,0
missing,0.85,0
25 — 34,36.21,1
35 — 44,23.43,1
18 — 24,18.81,1
45 — 54,13.82,1
55+,5.49,1
missing,2.25,1
25 — 34,30.74,2
35 — 44,28.94,2
45 — 54,18.71,2
18 — 24,11.17,2
55+,8.62,2
missing,1.83,2
25 — 34,36.75,3
35 — 44,27.85,3
45 — 54,17.66,3
18 — 24,9.14,3
55+,6.89,3
missing,1.67,3
Other,0.04,3
35 — 44,43.56,4
25 — 34,27.47,4
45 — 54,13.64,4
18 — 24,9.98,4
55+,4.82,4
missing,0.52,4
35 — 44,46.0,5
45 — 54,21.49,5
25 — 34,12.21,5
55+,10.43,5
18 — 24,9.47,5
missing,0.4,5
