country_grouped,percentage,cluster
United States,48.47,0
Europe,27.18,0
Other,7.37,0
United Kingdom,7.07,0
Canada,5.36,0
Australia,3.29,0
Latam,1.26,0
United States,46.76,1
Europe,23.54,1
United Kingdom,7.86,1
Latam,7.43,1
Other,7.39,1
Canada,4.11,1
Australia,2.92,1
United States,53.74,2
Europe,13.89,2
United Kingdom,10.09,2
Other,8.57,2
Canada,5.92,2
Australia,4.66,2
Latam,3.12,2
Latam,68.78,3
Europe,14.86,3
United States,8.8,3
Other,2.64,3
Canada,1.95,3
United Kingdom,1.68,3
Australia,1.28,3
United States,55.5,4
Europe,20.19,4
Other,7.17,4
United Kingdom,6.41,4
Canada,6.32,4
Australia,3.75,4
Latam,0.65,4
United States,49.81,5
Europe,23.24,5
Other,7.61,5
United Kingdom,7.18,5
Canada,7.02,5
Australia,4.19,5
Latam,0.94,5
