product_id_grouped,percentage,cluster
trial_yearly,78.94,0
paid_yearly,10.46,0
paid_monthly_pro,5.76,0
paid_yearly_pro,3.48,0
paid_3months,1.36,0
trial_yearly,71.39,1
paid_yearly,17.71,1
paid_monthly_pro,6.15,1
paid_yearly_pro,3.15,1
paid_3months,1.6,1
trial_yearly,76.59,2
paid_yearly,11.27,2
paid_monthly_pro,6.37,2
paid_yearly_pro,4.03,2
paid_3months,1.72,2
paid_monthly,0.01,2
paid_yearly,63.33,3
trial_yearly,28.42,3
paid_monthly_pro,3.93,3
paid_yearly_pro,2.21,3
paid_3months,2.11,3
trial_yearly,79.7,4
paid_yearly,8.52,4
paid_monthly_pro,6.86,4
paid_yearly_pro,3.36,4
paid_3months,1.56,4
trial_yearly,78.47,5
paid_yearly,10.59,5
paid_monthly_pro,5.78,5
paid_yearly_pro,3.62,5
paid_3months,1.53,5
