survey_answer,percentage,cluster
knowledge,40.68,0
motivation,20.11,0
personal_growth,18.54,0
develop_skills,15.3,0
missing,4.57,0
dont_relate,0.8,0
motivation,54.71,1
missing,16.51,1
personal_growth,11.7,1
develop_skills,9.55,1
knowledge,6.91,1
dont_relate,0.63,1
knowledge,35.27,2
motivation,24.2,2
personal_growth,19.63,2
develop_skills,12.05,2
missing,8.05,2
dont_relate,0.79,2
missing,81.95,3
personal_growth,6.18,3
motivation,4.86,3
develop_skills,3.34,3
knowledge,3.32,3
dont_relate,0.35,3
motivation,48.98,4
personal_growth,22.12,4
knowledge,13.52,4
develop_skills,10.39,4
missing,4.13,4
dont_relate,0.86,4
knowledge,36.5,5
personal_growth,24.36,5
motivation,22.92,5
develop_skills,11.55,5
missing,3.57,5
dont_relate,1.09,5
