life_desires,percentage,cluster
"CAREER,POPULARITY,PRODUCTIVITY",4.08,0
"CAREER,INTELLIGENCE,PRODUCTIVITY",3.97,0
"INTELLIGENCE,MONEY,PRODUCTIVITY",2.65,0
"INTELLIGENCE,POPULARITY,PRODUCTIVITY",2.58,0
"CAREER,MONEY,PRODUCTIVITY",2.53,0
"CAREER,FAMILY,PRODUCTIVITY",2.1,0
"CAREER,INTELLIGENCE,MONEY",2.09,0
"CAREER,INTELLIGENCE,POPULARITY",2.03,0
"INTELLIGENCE,MONEY,POPULARITY",1.82,0
"MONEY,POPULARITY,PRODUCTIVITY",1.46,0
"HEALTH,INTELLIGENCE,PRODUCTIVITY",1.31,0
"BALANCE,POPULARITY,PRODUCTIVITY",1.2,0
"BALANCE,INTELLIGENCE,PRODUCTIVITY",1.19,0
"BALANCE,INTELLIGENCE,POPULARITY",1.19,0
"HAPPINESS,LOVE,POPULARITY",1.12,0
"BALANCE,CAREER,PRODUCTIVITY",1.08,0
"INTELLIGENCE,LOVE,POPULARITY",1.05,0
"CAREER,MONEY,POPULARITY",1.0,0
"HEALTH,INTELLIGENCE,MONEY",0.97,0
"FAMILY,POPULARITY,PRODUCTIVITY",0.96,0
"LOVE,POPULARITY,PRODUCTIVITY",0.94,0
"HAPPINESS,INTELLIGENCE,POPULARITY",0.91,0
"BALANCE,HEALTH,PRODUCTIVITY",0.9,0
"FAMILY,INTELLIGENCE,PRODUCTIVITY",0.9,0
"BALANCE,LOVE,POPULARITY",0.9,0
PRODUCTIVITY,0.9,0
INTELLIGENCE,0.89,0
"HEALTH,MONEY,PRODUCTIVITY",0.89,0
"BALANCE,MONEY,PRODUCTIVITY",0.88,0
"HEALTH,INTELLIGENCE,POPULARITY",0.8,0
missing,0.79,0
"HAPPINESS,POPULARITY,PRODUCTIVITY",0.78,0
"BALANCE,FAMILY,PRODUCTIVITY",0.78,0
"FAMILY,INTELLIGENCE,POPULARITY",0.77,0
"INTELLIGENCE,LOVE,PRODUCTIVITY",0.75,0
"CAREER,FAMILY,POPULARITY",0.74,0
"CAREER,LOVE,PRODUCTIVITY",0.72,0
"FAMILY,LOVE,POPULARITY",0.69,0
"CAREER,LOVE,POPULARITY",0.69,0
"FAMILY,MONEY,PRODUCTIVITY",0.69,0
"INTELLIGENCE,LOVE,MONEY",0.67,0
"BALANCE,INTELLIGENCE,LOVE",0.66,0
"CAREER,HEALTH,PRODUCTIVITY",0.64,0
"BALANCE,HAPPINESS,POPULARITY",0.64,0
"HAPPINESS,INTELLIGENCE,MONEY",0.64,0
CAREER,0.62,0
"LOVE,POPULARITY,SEX",0.61,0
"BALANCE,FAMILY,POPULARITY",0.61,0
"CAREER,HAPPINESS,POPULARITY",0.6,0
"BALANCE,HEALTH,INTELLIGENCE",0.6,0
"CAREER,INTELLIGENCE,LOVE",0.6,0
"CAREER,FAMILY,INTELLIGENCE",0.6,0
"HAPPINESS,INTELLIGENCE,PRODUCTIVITY",0.58,0
"BALANCE,HAPPINESS,LOVE",0.57,0
"FAMILY,LOVE,PRODUCTIVITY",0.57,0
"FAMILY,MONEY,POPULARITY",0.57,0
"HEALTH,POPULARITY,PRODUCTIVITY",0.55,0
"FAMILY,INTELLIGENCE,MONEY",0.55,0
"INTELLIGENCE,MONEY,SEX",0.55,0
"HEALTH,LOVE,POPULARITY",0.54,0
"BALANCE,INTELLIGENCE,MONEY",0.51,0
"BALANCE,HEALTH,POPULARITY",0.51,0
"HAPPINESS,HEALTH,LOVE",0.51,0
"HAPPINESS,HEALTH,INTELLIGENCE",0.49,0
"LOVE,MONEY,POPULARITY",0.47,0
"BALANCE,HAPPINESS,HEALTH",0.47,0
"FAMILY,HAPPINESS,LOVE",0.46,0
"HAPPINESS,MONEY,POPULARITY",0.46,0
"CAREER,HEALTH,MONEY",0.46,0
"BALANCE,CAREER,INTELLIGENCE",0.45,0
